ROW_NUM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO,FARM_LOCPLC,k,g,f
12766,전라북도,김제시,백구면,관상조,2,전라북도 김제시 백구면,"('35.8907195870138', '126.967645726876')",35.8907195870138,126.967645726876
12767,전라북도,김제시,양전동,염소,1,전라북도 김제시 양전동,"('35.7560315752258', '126.901327492757')",35.7560315752258,126.901327492757
12768,충청북도,충주시,직동,닭,2,충청북도 충주시 직동,"('36.9444836221526', '127.960758745403')",36.9444836221526,127.960758745403
12769,경상북도,청송군,청송읍,돼지,1,경상북도 청송군 청송읍,"('36.4279964219082', '129.057606925592')",36.4279964219082,129.057606925592
12770,강원도,원주시,판부면,칠면조,2,강원도 원주시 판부면,"('37.2682792088618', '128.01295599715')",37.2682792088618,128.01295599715
12771,경상남도,창녕군,유어면,돼지,3,경상남도 창녕군 유어면,"('35.5080932361683', '128.411139146595')",35.5080932361683,128.411139146595
12772,경상북도,청송군,청송읍,염소,3,경상북도 청송군 청송읍,"('36.4279964219082', '129.057606925592')",36.4279964219082,129.057606925592
12773,대전광역시,동구,삼괴동,닭,1,대전광역시 동구 삼괴동,"('36.245319119014', '127.477237711421')",36.245319119014,127.477237711421
12774,충청남도,아산시,인주면,칠면조,1,충청남도 아산시 인주면,"('36.8690066584624', '126.884612818588')",36.8690066584624,126.884612818588
12775,대전광역시,대덕구,상서동,닭,2,대전광역시 대덕구 상서동,"('36.42566820382', '127.419943168404')",36.42566820382,127.419943168404
12776,충청남도,청양군,대치면,염소,2,충청남도 청양군 대치면,"('36.4443949398112', '126.832134582825')",36.4443949398112,126.832134582825
12777,충청북도,단양군,적성면,칠면조,2,충청북도 단양군 적성면,"('36.9607647375103', '128.292946851357')",36.9607647375103,128.292946851357
12778,경상북도,의성군,안사면,염소,7,경상북도 의성군 안사면,"('36.4310479878769', '128.461655896191')",36.4310479878769,128.461655896191
12779,충청북도,청주시 상당구,낭성면,토끼,1,충청북도 청주시 상당구 낭성면,"('36.622704630418', '127.603961873006')",36.622704630418,127.603961873006
12780,경상북도,김천시,개령면,염소,7,경상북도 김천시 개령면,"('36.1677333500624', '128.186120434518')",36.1677333500624,128.186120434518
