ROW_NUM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO,FARM_LOCPLC
7094,전라남도,화순군,능주면,돼지,10,전라남도 화순군 능주면
7095,전라남도,순천시,황전면,닭,69,전라남도 순천시 황전면
7096,충청북도,청원군,오창읍,돼지,3,충청북도 청원군 오창읍
7097,경상북도,경주시,동방동,염소,1,경상북도 경주시 동방동
7098,경기도,연천군,청산면,산양,1,경기도 연천군 청산면
7099,경기도,양평군,개군면,염소,2,경기도 양평군 개군면
7100,경상남도,함안군,산인면,닭,20,경상남도 함안군 산인면
7101,경상남도,창원시 마산합포구,진동면,사슴,3,경상남도 창원시 마산합포구 진동면
7102,경상남도,하동군,화개면,닭,19,경상남도 하동군 화개면
7103,경상남도,양산시,원동면,꿀벌,1,경상남도 양산시 원동면
7104,경상북도,군위군,의흥면,돼지,8,경상북도 군위군 의흥면
7105,전라북도,임실군,오수면,염소,15,전라북도 임실군 오수면
7106,경기도,김포시,대곶면,사슴,5,경기도 김포시 대곶면
7107,충청남도,천안시 서북구,입장면,닭,11,충청남도 천안시 서북구 입장면
7108,경상남도,의령군,대의면,염소,12,경상남도 의령군 대의면
7109,충청북도,옥천군,군서면,꿀벌,3,충청북도 옥천군 군서면
7110,강원도,영월군,주천면,염소,12,강원도 영월군 주천면
7111,전라남도,화순군,춘양면,염소,13,전라남도 화순군 춘양면
7112,경상남도,고성군,마암면,염소,14,경상남도 고성군 마암면
7113,경기도,고양시 일산동구,지영동,닭,1,경기도 고양시 일산동구 지영동
7114,충청북도,충주시,동량면,기러기,2,충청북도 충주시 동량면
7115,경상남도,함안군,가야읍,닭,20,경상남도 함안군 가야읍
7116,경상남도,창녕군,성산면,염소,7,경상남도 창녕군 성산면
7117,경상북도,경산시,용성면,닭,27,경상북도 경산시 용성면
7118,충청남도,보령시,웅천읍,꿀벌,2,충청남도 보령시 웅천읍
7119,부산광역시,기장군,장안읍,닭,21,부산광역시 기장군 장안읍
7120,전라남도,신안군,신의면,닭,3,전라남도 신안군 신의면
7121,충청남도,당진시,정미면,닭,43,충청남도 당진시 정미면
7122,강원도,평창군,대관령면,닭,22,강원도 평창군 대관령면
7123,경상남도,창녕군,대합면,돼지,2,경상남도 창녕군 대합면
7124,충청북도,제천시,청풍면,염소,12,충청북도 제천시 청풍면
7125,경상남도,김해시,대동면,돼지,4,경상남도 김해시 대동면
7126,경기도,동두천시,보산동,관상조,1,경기도 동두천시 보산동
7127,강원도,인제군,북면,염소,4,강원도 인제군 북면
7128,전라남도,고흥군,점암면,돼지,2,전라남도 고흥군 점암면
7129,강원도,원주시,부론면,염소,6,강원도 원주시 부론면
7130,경기도,연천군,백학면,닭,10,경기도 연천군 백학면
7131,경상남도,고성군,개천면,꿀벌,4,경상남도 고성군 개천면
7132,대전광역시,대덕구,목상동,닭,1,대전광역시 대덕구 목상동
7133,대구광역시,북구,읍내동,닭,5,대구광역시 북구 읍내동
7134,전라북도,순창군,복흥면,염소,3,전라북도 순창군 복흥면
7135,경상남도,거제시,동부면,닭,24,경상남도 거제시 동부면
7136,경기도,용인시 처인구,백암면,개,2,경기도 용인시 처인구 백암면
7137,경상남도,하동군,하동읍,염소,5,경상남도 하동군 하동읍
7138,경기도,광주시,남한산성면,염소,1,경기도 광주시 남한산성면
7139,충청남도,아산시,음봉면,돼지,11,충청남도 아산시 음봉면
7140,경상북도,봉화군,춘양면,닭,50,경상북도 봉화군 춘양면
7141,경상남도,김해시,진영읍,닭,26,경상남도 김해시 진영읍
7142,전라남도,곡성군,목사동면,오리,7,전라남도 곡성군 목사동면
7143,충청북도,청원군,미원면,사슴,2,충청북도 청원군 미원면
7144,세종특별자치시,,금남면,닭,43,세종특별자치시 nan 금남면
7145,제주특별자치도,서귀포시,남원읍,꿀벌,33,제주특별자치도 서귀포시 남원읍
7146,전라남도,해남군,북평면,돼지,5,전라남도 해남군 북평면
7147,전라남도,곡성군,곡성읍,오리,6,전라남도 곡성군 곡성읍
7148,강원도,춘천시,사북면,염소,3,강원도 춘천시 사북면
7149,경상북도,예천군,예천읍,염소,23,경상북도 예천군 예천읍
7150,경상북도,예천군,풍양면,염소,19,경상북도 예천군 풍양면
7151,경상남도,남해군,이동면,오리,1,경상남도 남해군 이동면
7152,제주특별자치도,제주시,구좌읍,토끼,1,제주특별자치도 제주시 구좌읍
7153,경상북도,포항시 북구,청하면,염소,7,경상북도 포항시 북구 청하면
7154,경상북도,포항시 북구,청하면,기러기,3,경상북도 포항시 북구 청하면
7155,경상남도,고성군,고성읍,닭,52,경상남도 고성군 고성읍
7156,경상북도,의성군,의성읍,닭,26,경상북도 의성군 의성읍
7157,경상북도,울진군,매화면,염소,3,경상북도 울진군 매화면
7158,전라남도,순천시,월등면,염소,12,전라남도 순천시 월등면
7159,제주특별자치도,제주시,한경면,말,30,제주특별자치도 제주시 한경면
7160,경상북도,칠곡군,왜관읍,닭,5,경상북도 칠곡군 왜관읍
7161,전라남도,순천시,상사면,돼지,3,전라남도 순천시 상사면
7162,경상북도,청도군,청도읍,돼지,2,경상북도 청도군 청도읍
7163,전라남도,보성군,문덕면,염소,11,전라남도 보성군 문덕면
7164,충청북도,청주시 서원구,남이면,염소,8,충청북도 청주시 서원구 남이면
7165,경상남도,고성군,개천면,닭,28,경상남도 고성군 개천면
7166,충청북도,단양군,매포읍,닭,51,충청북도 단양군 매포읍
7167,경상북도,군위군,군위읍,돼지,17,경상북도 군위군 군위읍
7168,강원도,춘천시,신동면,관상조,2,강원도 춘천시 신동면
7169,충청북도,괴산군,괴산읍,염소,14,충청북도 괴산군 괴산읍
7170,대전광역시,중구,정생동,닭,4,대전광역시 중구 정생동
7171,경상북도,영주시,상줄동,닭,3,경상북도 영주시 상줄동
7172,경기도,포천시,영중면,닭,15,경기도 포천시 영중면
7173,경상북도,경산시,옥곡동,닭,4,경상북도 경산시 옥곡동
7174,경기도,광주시,곤지암읍,염소,4,경기도 광주시 곤지암읍
7175,경상북도,경산시,용성면,칠면조,2,경상북도 경산시 용성면
