ROW_NUM,FARM_DISEASE_NM,CTPRVN_NM,SIGUNGU_NM,EMD_NM,LVSTCK_NM,FARM_CO
18879,구제역,충청남도,공주시,태봉동,소,138
18880,,경상남도,진주시,대평면,꿀벌,624
18881,고병원성조류인플루엔자,인천광역시,강화군,내가면,오리,145
18882,고병원성조류인플루엔자,전라남도,담양군,대덕면,거위,329
18883,구제역,전라북도,군산시,옥산면,염소,994
18884,구제역,강원도,원주시,귀래면,사슴,73
18885,고병원성조류인플루엔자,경기도,여주시,산북면,메추리,3318000
18886,구제역,경기도,파주시,적성면,염소,9456
18887,,경상북도,포항시 남구,장기면,꿀벌,1976
18888,고병원성조류인플루엔자,충청북도,진천군,백곡면,오리,28
18889,,제주특별자치도,제주시,봉개동,말,3824
18890,,경기도,남양주시,조안면,꿀벌,2519
18891,고병원성조류인플루엔자,경상남도,거제시,하청면,오리,596
18892,구제역,강원도,춘천시,신북읍,소,5688
18893,,전라북도,전주시 완산구,중노송동,꿀벌,4
18894,,경상남도,의령군,의령읍,꿀벌,10581
18895,,경상남도,하동군,하동읍,토끼,130
18896,구제역,전라남도,신안군,암태면,염소,885
18897,고병원성조류인플루엔자,경상남도,거제시,사등면,메추리,65
